size_mw,storage_kg,storage_ratio,LCOH,total_H2_tonnes,capacity_factor,stack_replacements,SEC_mean,NPV
5,250,50,4.677988014100367,8733.477265123034,0.7894596651445966,1,59.66987154378021,7293392.783447044
5,500,100,4.711837765709588,8733.477265123034,0.7894596651445966,1,59.66987154378021,7095474.617113692
5,750,150,4.745687517318809,8733.477265123034,0.7894596651445966,1,59.66987154378021,6897556.450780339
5,1000,200,4.77953726892803,8733.477265123034,0.7894596651445966,1,59.66987154378021,6699638.284446987
10,500,50,5.267141939670791,15334.224559206776,0.7894596651445966,1,62.24325688783503,6828018.679067182
10,1000,100,5.305699616319878,15334.224559206776,0.7894596651445966,1,62.24325688783503,6432182.34640048
10,1500,150,5.344257292968965,15334.224559206776,0.7894596651445966,1,62.24325688783503,6036346.013733775
10,2000,200,5.382814969618052,15334.224559206776,0.7894596651445966,1,62.24325688783503,5640509.681067071
15,750,50,5.509341605581232,21901.960374488615,0.7894596651445966,1,64.589172926985,6242550.436130439
15,1500,100,5.549834698124703,21901.960374488615,0.7894596651445966,1,64.589172926985,5648795.93713038
15,2250,150,5.590327790668173,21901.960374488615,0.7894596651445966,1,64.589172926985,5055041.438130326
15,3000,200,5.630820883211642,21901.960374488615,0.7894596651445966,1,64.589172926985,4461286.939130268
20,1000,50,5.688476363073353,28205.524970521627,0.7894596651445966,1,66.70754140252642,4696040.2720610965
20,2000,100,5.730400920254,28205.524970521627,0.7894596651445966,1,66.70754140252642,3904367.6067276895
20,3000,150,5.772325477434646,28205.524970521627,0.7894596651445966,1,66.70754140252642,3112694.9413942783
20,4000,200,5.814250034615291,28205.524970521627,0.7894596651445966,1,66.70754140252642,2321022.27606087
25,1250,50,5.848825261394573,34211.3007429957,0.7894596651445966,1,68.62871120886139,2066188.9934726881
25,2500,100,5.892031165538648,34211.3007429957,0.7894596651445966,1,68.62871120886139,1076598.1618059278
25,3750,150,5.935237069682723,34211.3007429957,0.7894596651445966,1,68.62871120886139,87007.33013916691
25,5000,200,5.978442973826796,34211.3007429957,0.7894596651445966,1,68.62871120886139,-902583.5015275939
30,1500,50,5.996335809356241,39963.27152653776,0.7894596651445966,1,70.4000461428032,-1486992.3694823906
30,3000,100,6.040720469292735,39963.27152653776,0.7894596651445966,1,70.4000461428032,-2674501.367482501
30,4500,150,6.0851051292292295,39963.27152653776,0.7894596651445966,1,70.4000461428032,-3862010.3654826144
30,6000,200,6.129489789165724,39963.27152653776,0.7894596651445966,1,70.4000461428032,-5049519.363482729
