Component,Value (€/kg),Percentage (%)
CAPEX,3.4040338189849195,28.07957445807365
Electricity,6.862870221580669,56.61121059027426
O&M + Insurance,0.8051900318786676,6.641941489223467
Stack Replacement,0.4631159673876167,3.8202027302011956
Compression,0.2444525883468989,2.0164678205231383
Capacity Degradation,0.3431435110790335,2.830560529513714
Gross LCOH,12.122811277170783,100.0
Oxygen Credit,-0.2690473059669795,-2.2193474749016273
Heat Credit,-0.18575983570235752,-1.5323164854687903
Net LCOH,11.853763971203803,97.78065252509836
